Activity ID,Activity Name,Avg Cadence,Avg HR,Avg Stress,Calories,Date,Distance (km),Duration (min),Elevation Gain (m),End Stress,Max HR,Max Stress,Pace (min/km),Start Stress,Stress Diff,Type,VO2 Max,Z1 (min),Z2 (min),Z3 (min),Z4 (min),Z5 (min),_kafka_key,_kafka_partition,_kafka_offset,Speed (km/h)
21416299565,Honolulu - Tempo,138.28125,151,,614,2026-01-01,7.6,56.49,94.8,,177,,7.43,,,running,42,8.06,13.81,11.23,22.88,0,running,0,35,8.07
21414652963,Rucking the dog,88.015625,114,,138,2026-01-01,1.75,20.6,23.6,,130,,11.75,,,walking,42,16.41,1.63,0,0,0,walking,0,36,5.1
21389032797,Honolulu - Recovery,121.6801653,128.2280992,,160,2025-12-29,2.21,20.17,22.8,,145,,9.14,,,running,,3.28,14.53,0,0,0,running,0,37,6.57
21386117584,Bus Stop Ruck ,104.46875,110,,126,2025-12-29,1.8,20.12,5.4,,126,,11.19,,,walking,42,12.85,1.22,0,0,0,walking,0,38,5.37
21378385279,Honolulu - Recovery,129.984375,134,,183,2025-12-28,2.34,20.58,16.1,,154,,8.78,,,running,,4.33,13.55,2.37,0,0,running,0,39,6.82
21367728357,Honolulu - Long Run,139.109375,136,,679,2025-12-27,8.8,78.15,87.1,,156,,8.88,,,running,42,5.32,55.08,16.37,0,0,running,0,40,6.76
21360386570,First Bike Back-at-it,0,119,,140,2025-12-26,4.98,20.83,46.6,,149,,4.18,,,cycling,,8.35,7.9,0.32,0,0,cycling,0,41,14.34
21359671668,Honolulu Walking,77.203125,101,,108,2025-12-26,1.54,21.66,5.3,,110,,14.08,,,walking,42,4.53,0,0,0,0,walking,0,42,4.27
21351304138,Electric Beach Snorkeling,0,106,,224,2025-12-25,0.65,42.79,0,,158,,65.45,,,open_water_swimming,,16.38,3.23,0.75,0,0,open_water_swimming,0,43,0.91
21350274135,Christmas Tempo,137.640625,161,,562,2025-12-25,6.89,51.46,63.1,,182,,7.46,,,running,42,1.08,9.87,17.71,22.57,0,running,0,44,8.03
21336777997,Honolulu - Base,135.328125,133,,298,2025-12-23,3.95,35.24,29.6,,146,,8.92,,,running,,4.3,30.5,0,0,0,running,0,45,6.73
21335541722,Pool Swim,0,126,,211,2025-12-23,0.8,25.97,0,,164,,32.47,,,lap_swimming,,8.02,12.26,2.08,0,0,lap_swimming,0,46,1.85
21327915141,Ruck back from pool,92.328125,112,,118,2025-12-22,1.72,22.18,1.1,,121,,12.89,,,walking,41,21.63,0,0,0,0,walking,0,47,4.65
21327829608,Week-of-slow Pool Swim ,0,125,,258,2025-12-22,1.01,33.45,0,,143,,33.26,,,lap_swimming,,12.02,19.82,0,0,0,lap_swimming,0,48,1.81
21327695436,Honolulu Walking,96.09375,114,,132,2025-12-22,1.7,20.24,38.9,,126,,11.87,,,walking,41,19.45,0.12,0,0,0,walking,0,49,5.04
21986918741,W01D3-Easy Bike,0,113,,218,2026-02-25,0,40.94,0,,126,,0,,,indoor_cycling,,36.61,0.43,0,0,0,indoor_cycling,0,50,0.0
21994869910,Honolulu Running,130.28125,161,,242,2026-02-26,3.01,21.04,5.7,,184,,6.99,,,running,44,1.21,3.95,4.24,11.56,0,running,0,51,8.58
22028723901,King's Runner 10k ,155.28125,171,,863,2026-03-01,10.13,64.99,24.4,,192,,6.41,,,running,44,0,0.37,0.92,62.71,0.98,running,0,52,9.35
22108968518,Honolulu Running,137.734375,146,,384,2026-03-08,4.92,44.93,60.1,,163,,9.13,,,running,43,0.7,12.37,31.67,0.2,0,running,0,53,6.57
22176695128,Honolulu - W03D6-Build Run,131.84375,127,,370,2026-03-14,4.81,45.53,52.1,,159,,9.47,,,running,43,16.7,23.48,4.88,0,0,running,0,54,6.34
22176485289,Honolulu Walking,62.765625,91,,112,2026-03-14,1.54,24.07,9.1,,121,,15.66,,,walking,44,2.23,0,0,0,0,walking,0,55,3.84
22187833030,Honolulu Running,141.203125,153,,625,2026-03-15,7.56,64.07,77.1,,165,,8.48,,,running,44,7.46,53.24,2.6,0,0,running,0,56,7.08
22198730094,Honolulu Walking,69.171875,100,,105,2026-03-16,1.42,18.93,16.4,,121,,13.36,,,walking,44,0,0,0,0,0,walking,0,57,4.5
22195720699,Honolulu - Hill sprints 10*15s,123.359375,143,,267,2026-03-16,2.79,27.4,43.2,,173,,9.82,,,running,,12.7,10.62,1.48,0,0,running,0,58,6.11
